jpml_docket_number,jpml_court,jpml_case_name,jpml_status,jpml_link,jpml_court_code
2:24-cv-00461,N.D. Ala.,Hammer et al v. 3M Company et al,Closed,www.bloomberglaw.com/product/blaw/document/2048139273633026,alnd
2:24-cv-00486,N.D. Ala.,Phoenix et al v. The 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048139330129666,alnd
2:24-cv-00488,N.D. Ala.,Byrd et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048139345897218,alnd
2:24-cv-00597,N.D. Ala.,South et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048139611320578,alnd
2:24-cv-00598,N.D. Ala.,Gildersleeve et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048139611324674,alnd
2:24-cv-00838,N.D. Ala.,"Colvin et al v. 3M Company, et al",CTO Final,www.bloomberglaw.com/product/blaw/document/2048140323351810,alnd
2:24-cv-00839,N.D. Ala.,Speigner et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048140323355906,alnd
2:24-cv-00867,N.D. Ala.,Zynda et al v. Price et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048140370108162,alnd
2:24-cv-00869,N.D. Ala.,Dixon et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048140377422594,alnd
2:24-cv-01147,N.D. Ala.,Hammer et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048140930342146,alnd
2:24-cv-01327,N.D. Ala.,"City of Irondale, Alabama, The v. 3M Company Inc et al",Transfer,www.bloomberglaw.com/product/blaw/document/2048141319251202,alnd
2:24-cv-01362,N.D. Ala.,Jerome Gachett et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048141403306242,alnd
2:24-cv-01552,N.D. Ala.,Adams Jr et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048141780562690,alnd
2:24-cv-01553,N.D. Ala.,Hampton et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048141780569346,alnd
2:24-cv-01554,N.D. Ala.,Keogh-Jackson et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048141790458114,alnd
2:24-cv-01555,N.D. Ala.,Spruill et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048141783912194,alnd
2:24-cv-01620,N.D. Ala.,"Watkins, et al. v. 3M Company, et al.",CTO Final,www.bloomberglaw.com/product/blaw/document/2048141903489282,alnd
2:24-cv-01621,N.D. Ala.,Reed et al v. The 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048141903496450,alnd
2:24-cv-01622,N.D. Ala.,"Hamner et al v. Chemguard, Inc et al",CTO Final,www.bloomberglaw.com/product/blaw/document/2048141903500034,alnd
2:24-cv-01646,N.D. Ala.,Sanders et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048141968617218,alnd
2:25-cv-00001,N.D. Ala.,Adamonis et al v. The 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048142925976322,alnd
2:25-cv-00141,N.D. Ala.,Patterson et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048143298898690,alnd
2:25-cv-00143,N.D. Ala.,"Thomas et al v. 3M Company, Et al.",CTO Final,www.bloomberglaw.com/product/blaw/document/2048143298915586,alnd
2:25-cv-00144,N.D. Ala.,Geissler et al v. 3M,CTO Final,www.bloomberglaw.com/product/blaw/document/2048143298919170,alnd
2:25-cv-00244,N.D. Ala.,Cassidy et al v. 3M Company et al.,CTO Final,www.bloomberglaw.com/product/blaw/document/2048143472611586,alnd
2:25-cv-00271,N.D. Ala.,"Washington-Bey, et al. v. 3M Company et al.",CTO Final,www.bloomberglaw.com/product/blaw/document/2048143526324994,alnd
2:25-cv-00370,N.D. Ala.,Prather et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048143809691394,alnd
2:25-cv-00411,N.D. Ala.,Kirby et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048143886152450,alnd
2:25-cv-00413,N.D. Ala.,Cottingham et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048143887779074,alnd
2:25-cv-00487,N.D. Ala.,Molitor et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048144067711746,alnd
2:25-cv-00488,N.D. Ala.,Theall et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048144067715842,alnd
2:25-cv-00552,N.D. Ala.,Bowie et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048144216017154,alnd
2:25-cv-00561,N.D. Ala.,"Nance et al v. 3M Company, et al",CTO Final,www.bloomberglaw.com/product/blaw/document/2048144235855106,alnd
2:25-cv-00734,N.D. Ala.,Rooker et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048144556261634,alnd
2:25-cv-00752,N.D. Ala.,Buford et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048144574991106,alnd
2:25-cv-00755,N.D. Ala.,Dooley et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048144576527106,alnd
2:25-cv-00887,N.D. Ala.,Adair et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048144872957186,alnd
2:25-cv-00963,N.D. Ala.,Moore et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145015700226,alnd
2:25-cv-00964,N.D. Ala.,Ward et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145015705858,alnd
2:25-cv-00965,N.D. Ala.,Alsobrook et al v. 3m Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145015709954,alnd
2:25-cv-00983,N.D. Ala.,Bias et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145041754882,alnd
2:25-cv-01018,N.D. Ala.,Chappell et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145111174914,alnd
2:25-cv-01019,N.D. Ala.,Lamon et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145111178498,alnd
2:25-cv-01020,N.D. Ala.,Johnson et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145111182594,alnd
2:25-cv-01021,N.D. Ala.,Weber et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145111186178,alnd
2:25-cv-01022,N.D. Ala.,Clemons et al v. 3M Co.,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145112805634,alnd
2:25-cv-01023,N.D. Ala.,King et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145111191298,alnd
2:25-cv-01024,N.D. Ala.,Willis et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145112812802,alnd
2:25-cv-01057,N.D. Ala.,Lawrimore et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145163703042,alnd
2:25-cv-01076,N.D. Ala.,Andersen et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145214546178,alnd
2:25-cv-01143,N.D. Ala.,"Lisa McGarvey et al v. 3M Company, et al.",CTO Final,www.bloomberglaw.com/product/blaw/document/2048145319717122,alnd
2:25-cv-01233,N.D. Ala.,Agacinski-Vazquez et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145485976322,alnd
2:25-cv-01290,N.D. Ala.,Watson et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145624309506,alnd
2:25-cv-01308,N.D. Ala.,Arnett et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145648803586,alnd
2:25-cv-01309,N.D. Ala.,"Kathleen Martinez et al v. 3m Company, et al",CTO Final,www.bloomberglaw.com/product/blaw/document/2048145650502914,alnd
2:25-cv-01310,N.D. Ala.,McCurry et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145650511106,alnd
2:25-cv-01313,N.D. Ala.,"Mark Lee Caton et al v. 3m Company, et al",CTO Final,www.bloomberglaw.com/product/blaw/document/2048145652706050,alnd
2:25-cv-01334,N.D. Ala.,Berube et al v. 3M Company,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145687862018,alnd
2:25-cv-01335,N.D. Ala.,Bolton et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145702149890,alnd
2:25-cv-01336,N.D. Ala.,Clay et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145702161666,alnd
2:25-cv-01337,N.D. Ala.,Brantley et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145702171394,alnd
2:25-cv-01338,N.D. Ala.,Browning et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145702181634,alnd
2:25-cv-01359,N.D. Ala.,Archuleta et al v. 3m Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145717034754,alnd
2:25-cv-01360,N.D. Ala.,Huckaby et al v. 3m Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145721423106,alnd
2:25-cv-01367,N.D. Ala.,Dudley et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145721457410,alnd
2:25-cv-01368,N.D. Ala.,Dyer et al v. 3M Company,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145721462018,alnd
2:25-cv-01369,N.D. Ala.,Ford et al v. 3M Company,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145721466114,alnd
2:25-cv-01373,N.D. Ala.,Rains et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145732884738,alnd
2:25-cv-01395,N.D. Ala.,Williams et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145762114306,alnd
2:25-cv-01417,N.D. Ala.,Green et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145796655874,alnd
2:25-cv-01418,N.D. Ala.,Hubbard et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145801090818,alnd
2:25-cv-01419,N.D. Ala.,Isbell et al v. Hunt et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145796658946,alnd
2:25-cv-01420,N.D. Ala.,Key et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145798445314,alnd
2:25-cv-01427,N.D. Ala.,Cupp et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145812140290,alnd
2:25-cv-01428,N.D. Ala.,Crowder et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145812143362,alnd
2:25-cv-01429,N.D. Ala.,Harris et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145812147458,alnd
2:25-cv-01430,N.D. Ala.,Lindsey et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145812152578,alnd
2:25-cv-01448,N.D. Ala.,Aanerud et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145827857666,alnd
2:25-cv-01449,N.D. Ala.,Abbott et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145827871490,alnd
2:25-cv-01459,N.D. Ala.,Mitchell et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145843255042,alnd
2:25-cv-01460,N.D. Ala.,Mayhall et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145843259650,alnd
2:25-cv-01461,N.D. Ala.,Calhoun et al v. Martinez et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145845085954,alnd
2:25-cv-01468,N.D. Ala.,Frickey et al v 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145862320898,alnd
2:25-cv-01469,N.D. Ala.,Jones et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145864479490,alnd
2:25-cv-01473,N.D. Ala.,Adams et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145869341954,alnd
2:25-cv-01474,N.D. Ala.,Robbins et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145864484098,alnd
2:25-cv-01475,N.D. Ala.,Minton et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145869350146,alnd
2:25-cv-01476,N.D. Ala.,Phillips et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145869356802,alnd
2:25-cv-01487,N.D. Ala.,Waddell et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145879033602,alnd
2:25-cv-01488,N.D. Ala.,Williams et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145881012994,alnd
2:25-cv-01489,N.D. Ala.,Aguilar et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145899897602,alnd
2:25-cv-01506,N.D. Ala.,Newsom et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145934733058,alnd
2:25-cv-01518,N.D. Ala.,Njigha et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145934739714,alnd
2:25-cv-01526,N.D. Ala.,Durante et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145939088130,alnd
2:25-cv-01534,N.D. Ala.,Sides et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145950266626,alnd
2:25-cv-01535,N.D. Ala.,Smith et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145954518786,alnd
2:25-cv-01536,N.D. Ala.,Toson et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145954522882,alnd
2:25-cv-01537,N.D. Ala.,Wilkins et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145954526466,alnd
2:25-cv-01539,N.D. Ala.,Turner et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145954537218,alnd
2:25-cv-01540,N.D. Ala.,Adcock v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145954543874,alnd
2:25-cv-01541,N.D. Ala.,Turley et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145954550018,alnd
2:25-cv-01545,N.D. Ala.,Aguilar et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145965534466,alnd
2:25-cv-01546,N.D. Ala.,Alexander et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145965541122,alnd
2:25-cv-01547,N.D. Ala.,Adkins et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145965546754,alnd
2:25-cv-01548,N.D. Ala.,Bowles et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048145967018754,alnd
2:25-cv-01553,N.D. Ala.,Reynolds et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048146038627074,alnd
2:25-cv-01629,N.D. Ala.,Darby et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048146190095618,alnd
2:25-cv-01635,N.D. Ala.,Aglio et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048146205845250,alnd
2:25-cv-01704,N.D. Ala.,Lawrence et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048146328257794,alnd
2:25-cv-01705,N.D. Ala.,Owen et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048146328258306,alnd
2:25-cv-01706,N.D. Ala.,Dunkin et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048146332566786,alnd
2:25-cv-01720,N.D. Ala.,Pierce et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048146346251522,alnd
2:25-cv-01726,N.D. Ala.,Jefferson et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048146360066306,alnd
2:25-cv-01727,N.D. Ala.,Threatt et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048146364006658,alnd
2:25-cv-01753,N.D. Ala.,Aguero et al v. 3M Company et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048146429070594,alnd
2:26-cv-00524,N.D. Ala.,,Pending,www.bloomberglaw.com/product/blaw/document/2048148610357506,alnd
3:24-cv-01062,N.D. Ala.,"Muscle Shoals, Alabama, City of et al v. 3M Company, Inc. et al",Transfer,www.bloomberglaw.com/product/blaw/document/2048140775844610,alnd
3:24-cv-01063,N.D. Ala.,Colbert County Alabama et al v. 3M Company Inc et al,Transfer,www.bloomberglaw.com/product/blaw/document/2048140775868674,alnd
5:15-cv-01750,N.D. Ala.,West Morgan-East Lawrence Water and Sewer Authority et al v. 3M Company et al,Denied,www.bloomberglaw.com/product/blaw/document/2048099113293570,alnd
5:16-cv-01029,N.D. Ala.,Tennessee Riverkeeper Inc v. 3M Company et al,Denied,www.bloomberglaw.com/product/blaw/document/2048105995913986,alnd
5:17-cv-01833,N.D. Ala.,King et al v. West Morgan-East Lawrence Water and Sewer Authority et al,Denied,www.bloomberglaw.com/product/blaw/document/2048113030403330,alnd
5:18-cv-01441,N.D. Ala.,Arnold v. West Morgan-East Lawrence Water and Sewer Authority et al,Denied,www.bloomberglaw.com/product/blaw/document/2048116521398530,alnd
5:18-cv-01893,N.D. Ala.,Rogers v. West Morgan-Lawrence Water and Sewer Authority et al,Not Related,www.bloomberglaw.com/product/blaw/document/2048117267531010,alnd
5:24-cv-00060,N.D. Ala.,Cowart et al v. 3M Company Inc et al,Transfer,www.bloomberglaw.com/product/blaw/document/2048138537707266,alnd
5:24-cv-00069,N.D. Ala.,Butler et al v. 3M Company Inc et al,Transfer,www.bloomberglaw.com/product/blaw/document/2048138551315202,alnd
5:24-cv-00070,N.D. Ala.,Carter et al v. 3M Company Inc et al,Transfer,www.bloomberglaw.com/product/blaw/document/2048138553392898,alnd
5:24-cv-00071,N.D. Ala.,Whitaker et al v. 3M Company Inc et al,Transfer,www.bloomberglaw.com/product/blaw/document/2048138558587650,alnd
5:24-cv-00361,N.D. Ala.,Antonio et al v. 3M Company Inc et al,Transfer,www.bloomberglaw.com/product/blaw/document/2048139084667650,alnd
5:24-cv-00362,N.D. Ala.,Lee et al v. 3M Company Inc et al,Transfer,www.bloomberglaw.com/product/blaw/document/2048139084673282,alnd
5:24-cv-00573,N.D. Ala.,Kelley v. 3M Company Inc et al,CTO Final,www.bloomberglaw.com/product/blaw/document/2048139557604098,alnd
